Group Number,Subhalo ID,Snapshot,Mass,Pos x,Pos y,Pos z,Vel x,Vel y,Vel z,Subhalo ID at Snap,Subfind ID at snapp
19826,832334,32,0.11065803468227386,30046.31640625,36686.33984375,54599.75390625,-82.3845443725586,52.78232192993164,-30.373016357421875,13755265,67864
19826,832334,31,0.10218660533428192,30061.30078125,36678.28125,54602.71875,-79.86593627929688,51.46208953857422,-29.14093589782715,13755266,57169
19826,832334,30,0.06565356999635696,30079.103515625,36659.34765625,54607.94921875,-71.71063995361328,52.10472869873047,-28.8289794921875,13755267,66916
19826,832334,29,0.05929999798536301,30096.576171875,36642.42578125,54615.45703125,-69.30854797363281,50.17582702636719,-28.139598846435547,13755268,48870
19826,832334,28,0.03918035700917244,30109.95703125,36630.96484375,54621.26953125,-65.44488525390625,52.76542282104492,-28.031524658203125,13755269,58031
19826,832334,27,0.041298214346170425,30125.984375,36620.8671875,54628.453125,-67.46112823486328,48.77785873413086,-28.0727596282959,13755270,32128
19826,832334,26,0.022237500175833702,30139.689453125,36608.38671875,54634.67578125,-57.022037506103516,46.824066162109375,-29.130630493164062,13755271,49469
19826,832334,25,0.020649107173085213,30150.8203125,36596.16796875,54636.9375,-58.191802978515625,47.162960052490234,-28.536718368530273,13755272,33173
20177,834262,135,5.25916862487793,10669.39453125,23788.541015625,25898.966796875,-310.88824462890625,-245.443115234375,125.92793273925781,50000000400239977,834262
20177,834262,134,5.278759002685547,10699.853515625,23812.046875,25887.423828125,-324.0057678222656,-248.03407287597656,122.92808532714844,50000000400239978,831898
20177,834262,133,5.269228458404541,10747.0439453125,23847.80859375,25870.373046875,-343.8334045410156,-251.55715942382812,117.43901062011719,50000000400239979,792639
20177,834262,132,5.290407180786133,10781.189453125,23871.771484375,25859.22265625,-357.38232421875,-253.79684448242188,113.24897003173828,50000000400239980,797957
20177,834262,131,5.264992713928223,10834.0419921875,23909.126953125,25842.794921875,-377.92041015625,-256.9276428222656,105.97262573242188,50000000400239981,791358
20177,834262,130,5.289877891540527,10871.638671875,23934.087890625,25831.416015625,-391.7892761230469,-258.8610534667969,100.22421264648438,50000000400239982,786578
20177,834262,129,5.29570198059082,10931.50390625,23973.103515625,25817.224609375,-413.9353332519531,-262.10894775390625,90.08527374267578,50000000400239983,285157
20177,834262,128,5.470425128936768,10973.1865234375,23998.939453125,25808.3359375,-429.889892578125,-264.13818359375,82.17131805419922,50000000400239984,770833
20177,834262,127,5.1898088455200195,11039.4619140625,24038.701171875,25797.228515625,-452.4571838378906,-265.4841613769531,68.09223937988281,50000000400239985,278918
20177,834262,126,5.17339563369751,11085.1787109375,24064.7890625,25791.15625,-467.9306945800781,-266.13458251953125,57.6882438659668,50000000400239986,276060
20177,834262,125,5.09185791015625,11157.978515625,24104.677734375,25783.212890625,-491.4941101074219,-265.91552734375,40.97096633911133,50000000400239987,268966
20177,834262,124,4.893838405609131,11234.7978515625,24145.16015625,25779.5234375,-515.5071411132812,-263.4185791015625,22.052330017089844,50000000400239988,265602
20177,834262,123,5.081798076629639,11288.400390625,24171.892578125,25777.76953125,-536.1113891601562,-261.2978210449219,8.088967323303223,50000000400239989,264271
20177,834262,122,4.31460428237915,11372.5400390625,24211.46484375,25778.697265625,-556.3704223632812,-249.36819458007812,-18.298240661621094,50000000400239990,260850
20177,834262,121,4.389258861541748,11431.7939453125,24237.39453125,25782.146484375,-571.8418579101562,-238.89422607421875,-38.98332595825195,50000000400239991,258348
20177,834262,120,4.476090908050537,11522.4765625,24273.3515625,25790.642578125,-587.3131103515625,-217.2909698486328,-72.85939025878906,50000000400239992,255690
